Strain,Subspecies,Host_cn,Host_sn,Location1,Location2,Mean,SE,Sequences
Riv5,subsp.multiplex,Plum,Prunus cerasifera,CA,"USA, California, Riverside",0.00E+00,0.00E+00,Y
Salento-1,subsp.pauca,Olive,Olea europaea,Italy,Italy,0.00E+00,0.00E+00,Y
Santa29b,subsp.multiplex,lavender cotton,Santolina chamaecyparissus,Spain,Spain,0.00E+00,0.00E+00,Y
SLO,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, San Luis Ovispo",1.19E-01,9.28E-02,Y
SRBB,subsp.multiplex,Blueberry,Vaccinium spp.,GA,"USA, Georgia, South Georgia",0.00E+00,0.00E+00,Y
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,CA,"USA, California, Temecula",5.36E-03,1.25E-03,Y
UVA519_1B,subsp.multiplex,redbud,Cercis spp.,TX,"USA, Texas, Uvalde, Uvalde",0.00E+00,0.00E+00,Y
VALVAL072Ext,subsp.multiplex,weeds,Ambrosia trifida var. texana,TX,"USA, Texas, Del Rio, Val Verde",0.00E+00,0.00E+00,Y
XF3348,subsp.multiplex,Almonds,Prunus dulcis,Spain,"Spain, Mallorca",0.00E+00,0.00E+00,Y
XF3967_18,subsp.fastidiosa,Grapes,Vitis vinifera,Spain,Spain,4.70E-06,0.00E+00,Y
XYL1752_17,subsp.multiplex,Almonds,Prunus dulcis,Spain,Spain,0.00E+00,0.00E+00,Y
XYL1961,subsp.pauca,Olive,Olea europaea,Spain,"Spain, Ibiza",0.00E+00,0.00E+00,Y
XYL1966_18,subsp.multiplex,Olive,Olea europaea,Spain,Spain,0.00E+00,0.00E+00,Y
XYL1968_18,subsp.multiplex,Olive,Olea europaea,Spain,Spain,0.00E+00,0.00E+00,Y
XYL1981_17,subsp.multiplex,Fig,Ficus carica,Spain,Spain,0.00E+00,0.00E+00,Y
XYL1981_18,subsp.multiplex,Almonds,Prunus dulcis,Spain,Spain,0.00E+00,0.00E+00,Y
XYL2014_18,subsp.fastidiosa,Almonds,Prunus dulcis,Spain,Spain,1.08E-04,6.47E-05,Y
XYL2017_18,subsp.fastidiosa,Almonds,Prunus dulcis,Spain,Spain,1.31E-04,1.04E-04,Y
XYL2055_17,subsp.fastidiosa,Grapes,Vitis vinifera,Spain,Spain,7.58E-06,0.00E+00,Y
